trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.02, 'e': 0.9959360000000002}",20,0,-108.49627169966861,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
129,False,"{'a': 0.02, 'e': 0.9958720000000002}",20,13,-9.50333794539092,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.9958075000000002}",25,6,-89.7992128505887,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.9957425000000002}",20,0,-79.10318202408715,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
132,False,"{'a': 0.02, 'e': 0.9956770000000001}",20,0,-187.2729691272097,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
133,False,"{'a': 0.02, 'e': 0.9956110000000001}",30,0,-157.57233155026506,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
134,False,"{'a': 0.02, 'e': 0.9955445000000002}",20,0,-107.96728231320915,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
135,False,"{'a': 0.02, 'e': 0.9954775000000001}",20,0,-98.88412434186316,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
136,False,"{'a': 0.02, 'e': 0.9954100000000001}",25,0,-82.34704115138948,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
137,False,"{'a': 0.02, 'e': 0.9953420000000002}",25,0,-80.50783684572286,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
138,False,"{'a': 0.02, 'e': 0.9952735000000001}",25,0,-108.1348384318266,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
139,False,"{'a': 0.02, 'e': 0.9952045000000002}",25,2,-174.53366369719473,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 3}",1
140,False,"{'a': 0.02, 'e': 0.9951350000000002}",20,0,-73.08883707406913,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
141,False,"{'a': 0.02, 'e': 0.9950650000000002}",20,0,-38.741620224249026,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.02, 'e': 0.9949945000000002}",20,0,-76.56377978293797,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
143,False,"{'a': 0.02, 'e': 0.9949235000000002}",20,0,-51.29073332701225,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.02, 'e': 0.9948520000000002}",25,0,-176.87622350684825,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
145,False,"{'a': 0.02, 'e': 0.9947800000000002}",25,0,-115.13584286425511,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
146,False,"{'a': 0.02, 'e': 0.9947075000000002}",20,0,-89.0814910354789,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.02, 'e': 0.9946345000000002}",25,0,-130.90038064513612,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
148,False,"{'a': 0.02, 'e': 0.9945610000000003}",20,0,-37.27948422533225,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.02, 'e': 0.9944870000000002}",20,0,-84.6979349932879,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.02, 'e': 0.9944125000000003}",25,0,-181.21960563161235,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
151,False,"{'a': 0.02, 'e': 0.9943375000000002}",20,8,-53.19084942903967,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.02, 'e': 0.9942620000000002}",20,0,-117.32990533085703,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
153,False,"{'a': 0.02, 'e': 0.9941860000000002}",25,4,-149.22772268545987,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 3}",1
154,False,"{'a': 0.02, 'e': 0.9941095000000002}",20,3,-47.29147361857176,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.9940325000000002}",30,0,-227.49648175749917,"{0: 15, 1: 5, 2: 4, 3: 3, 4: 3}",0
156,False,"{'a': 0.02, 'e': 0.9939550000000003}",20,0,-35.6872467595217,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
157,False,"{'a': 0.02, 'e': 0.9938770000000002}",20,0,-193.14020277509303,"{0: 6, 1: 2, 2: 9, 3: 1, 4: 2}",0
158,False,"{'a': 0.02, 'e': 0.9937985000000003}",25,0,-115.20320410328091,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
159,False,"{'a': 0.02, 'e': 0.9937195000000002}",25,0,-97.51641553568429,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
160,False,"{'a': 0.02, 'e': 0.9936400000000002}",20,0,-140.93712186649742,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
161,False,"{'a': 0.02, 'e': 0.9935600000000002}",30,0,-183.77815356457654,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",1
162,False,"{'a': 0.02, 'e': 0.9934795000000002}",30,0,-118.29908159283087,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
163,False,"{'a': 0.02, 'e': 0.9933985000000002}",25,18,-8.302783845120402,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.9933170000000002}",20,0,-68.76648021070814,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
165,False,"{'a': 0.02, 'e': 0.9932350000000002}",30,15,-94.35051360773002,"{0: 6, 1: 3, 2: 5, 3: 0, 4: 1}",1
166,False,"{'a': 0.02, 'e': 0.9931525000000002}",30,0,-171.08962806509012,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
167,False,"{'a': 0.02, 'e': 0.9930695000000002}",20,0,-151.42502452553572,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
168,False,"{'a': 0.02, 'e': 0.9929860000000001}",25,0,-114.00210548953723,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.02, 'e': 0.9929020000000002}",25,0,-297.627725176194,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 6}",0
170,False,"{'a': 0.02, 'e': 0.9928175000000001}",25,0,-150.7494852149355,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
171,False,"{'a': 0.02, 'e': 0.9927325000000001}",20,0,-71.71191707238293,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
172,False,"{'a': 0.02, 'e': 0.9926470000000002}",20,0,-67.7184376689577,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
173,False,"{'a': 0.02, 'e': 0.9925610000000001}",30,0,-174.40722443265886,"{0: 14, 1: 8, 2: 5, 3: 1, 4: 2}",0
174,False,"{'a': 0.02, 'e': 0.9924745000000001}",20,0,-131.50279323468342,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
175,False,"{'a': 0.02, 'e': 0.9923875000000002}",25,0,-163.92223947755548,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
176,False,"{'a': 0.02, 'e': 0.9923000000000002}",25,0,-182.67286534477273,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
177,False,"{'a': 0.02, 'e': 0.9922120000000002}",30,0,-132.95109496218416,"{0: 17, 1: 4, 2: 5, 3: 4, 4: 0}",0
178,False,"{'a': 0.02, 'e': 0.9921235000000002}",25,0,-82.70382717179221,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
179,False,"{'a': 0.02, 'e': 0.9920345000000002}",20,0,-127.16050116382473,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
180,False,"{'a': 0.02, 'e': 0.9919450000000002}",30,0,-337.57455550657306,"{0: 9, 1: 7, 2: 7, 3: 2, 4: 5}",0
181,False,"{'a': 0.02, 'e': 0.9918550000000002}",30,0,-125.9583249082869,"{0: 14, 1: 3, 2: 13, 3: 0, 4: 0}",0
182,False,"{'a': 0.02, 'e': 0.9917645000000002}",25,0,-103.9670931317447,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
183,False,"{'a': 0.02, 'e': 0.9916735000000002}",25,0,-163.2721613295756,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
184,False,"{'a': 0.02, 'e': 0.9915820000000002}",20,0,-111.91054441902631,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
